epoch,session,elapsed_s,epoch_s,box_loss,cls_loss,dfl_loss,precision,recall,map50,map50_95,person_ap50,lr,fitness,ap50_person,ap50_two_wheeler,ap50_car,ap50_truck,ap50_cart
1,1,3333.1,3188,1.33605,0.78616,0.977,0.80421,0.56194,0.64604,0.40402,0.635235,0.000999744,0.40402,0.635235,0.565491,0.739542,0.643882,
2,1,6796.9,3463.7,1.35395,0.80422,0.98064,0.8068,0.56503,0.64746,0.40551,0.634619,0.000939711,0.40551,0.634619,0.568061,0.743042,0.6441,
3,1,10260,3463.1,1.34427,0.79535,0.97817,0.80539,0.56985,0.65117,0.40874,0.638743,0.000775,0.40874,0.638743,0.570261,0.745944,0.649743,
4,1,13773.2,3513.2,1.3311,0.78131,0.97373,0.81073,0.57302,0.65561,0.41179,0.640336,0.00055,0.41179,0.640336,0.578008,0.747153,0.656946,
5,1,15883.1,2110,1.30613,0.73849,0.96677,0.80725,0.57058,0.65274,0.41041,0.638963,0.000325,0.41041,0.638963,0.575427,0.747157,0.649413,
6,1,18018.2,2135.1,1.29228,0.72533,0.96257,0.811,0.56975,0.65286,0.41059,0.638755,0.000160289,0.41059,0.638755,0.575954,0.746976,0.649757,
